CAMINHO;MACRO;ROBO;HORA
M:\Gestao_Analitica\Relatorios (Alisson)\Quero-Quero\Rotina Copias\Mover Bases\BAT_MOV_BASES.xlsm;!EXEC;GARVIS;07:34:54
M:\Gestao_Analitica\Relatorios (Alisson)\Quero-Quero\Rotina Copias\ROTINA.xlsm;!MESTRE;GARVIS;06:00:21
M:\MIS\001_GESTAO-MIS\000_TEMPORIZADOR\007_CONTROLE_EXECUCAO\CONTROLE_EXECUCAO.xlsb;!ATUALIZAR_TUDO;JARVIS;23:37:32
M:\MIS\001_GESTAO-MIS\001_CONTROLE-BASES_TI_VD\CONTROLE_BASES_TI_VD.xlsb;!ATUALIZAR_TUDO;JARVIS;23:19:05
M:\MIS\001_GESTAO-MIS\009_CONTROLE-BASES_CRM\CONTROLE_BASES_CRM.xlsb;!ATUALIZAR_TUDO;JARVIS;22:42:05
M:\MIS\002_ESTRUTURAS\000_ARQUIVOS_SF\ARQUIVOS_SF.xlsb;!ATUALIZAR_TUDO;JARVIS;07:27:16
M:\MIS\002_ESTRUTURAS\000_ARQUIVOS_SF\ARQUIVOS_SF.xlsb;!ATUALIZAR_TUDO_CSV;JARVIS;06:49:15
M:\MIS\002_ESTRUTURAS\000_BASE-LOJAS-GERENTES\MOVER_BASE_GERENTES.xlsb;!ATUALIZAR_TUDO;JARVIS;01:31:37
M:\MIS\002_ESTRUTURAS\000_BASES_EMAIL\ROTINA_EMAIL.xlsb;!ATUALIZAR_TUDO;JARVIS;23:40:54
M:\MIS\002_ESTRUTURAS\000_BASES_PLANEJAMENTO\BASES_PLANEJAMENTO.xlsb;!ATUALIZAR_TUDO;JARVIS;23:04:04
M:\MIS\002_ESTRUTURAS\000_BASE_PDD\BASE_PDD.xlsb;!ATUALIZAR_TUDO;JARVIS;03:25:41
M:\MIS\002_ESTRUTURAS\000_BASE_PDD\PDD_CONTRATOS.xlsb;!ATUALIZAR_TUDO;JARVIS;09:04:08
M:\MIS\002_ESTRUTURAS\000_BASE_RH_SEMEAR\BASE_RH.xlsb;!ATUALIZAR_TUDO;JARVIS;05:26:56
M:\MIS\002_ESTRUTURAS\000_CARGA_VERDECOB\CARGA_VERDECOB.xlsb;!ATUALIZAR_TUDO;JARVIS;08:39:09
M:\MIS\002_ESTRUTURAS\000_CI\GERADOR_CI.xlsb;!ATUALIZAR_TUDO;JARVIS;03:01:14
M:\MIS\002_ESTRUTURAS\000_DB_MIS\011_ST_MORA_E_MULTA\CARGA_MM.xlsb;!ATUALIZAR_TUDO;CARGAS;08:12:04
M:\MIS\002_ESTRUTURAS\000_DB_MIS\011_ST_MORA_E_MULTA\CARGA_MM.xlsb;!ATUALIZAR_TUDO;JARVIS;08:05:30
M:\MIS\002_ESTRUTURAS\000_DB_MIS\dw_score_ar\CARGA_SCORE_AR.xlsb;!ATUALIZAR_TUDO;JARVIS;12:03:40
M:\MIS\002_ESTRUTURAS\000_DB_MIS\dw_score_telefone_cobranca\CARGA_SCORE_COBRANCA.xlsb;!ATUALIZAR_TUDO;JARVIS;05:38:02
M:\MIS\002_ESTRUTURAS\000_DB_MIS\es_ciclo_oferte_ganhe\INSERT_CICLO_OFERTE.xlsb;!ATUALIZAR_TUDO;CARGAS;02:34:16
M:\MIS\002_ESTRUTURAS\000_DB_MIS\es_ecommerce_sessoes\es_ecommerce_sessoes.xlsm;!ATUALIZAR_TUDO;CARGAS;04:22:02
M:\MIS\002_ESTRUTURAS\000_DB_MIS\es_escola_virtual\REALIZADO_ESCOLA_VITUAL.xlsb;!ATUALIZAR_TUDO;CARGAS;04:21:15
M:\MIS\002_ESTRUTURAS\000_DB_MIS\es_ocorrencias_motivos\OCORRENCIAS_MOTIVOS.xlsb;!ATUALIZAR_TUDO;CARGAS;04:21:27
M:\MIS\002_ESTRUTURAS\000_DB_MIS\es_plano_acao_oferte_ganhe\INSERT_PLANO_ACAO_OFERTE_GANHE.xlsb;!ATUALIZAR_TUDO;CARGAS;02:21:15
M:\MIS\002_ESTRUTURAS\000_DB_MIS\es_pontuacao_ligacoes\CARGA_PONTUACAO_LIGACOES.xlsb;!ATUALIZAR_TUDO;CARGAS;02:00:50
M:\MIS\002_ESTRUTURAS\000_DB_MIS\es_pontuacao_ligacoes\CARGA_PONTUACAO_LIGACOES.xlsb;!ATUALIZAR_TUDO;JARVIS;02:01:06
M:\MIS\002_ESTRUTURAS\000_DB_MIS\es_promo_rede\es_promo_rede.xlsm;!ATUALIZAR_TUDO;CARGAS;04:21:48
